BSC,CELL,THRAV,THRVP,THRDV,RULES_APPLIED,MaxTi,MaxCong,MaxTch,VAMOS,ENM,DATA_OF
DBE01,D01LW5A,8,8,22,Default,0.19,0.0,13.74,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW5B,5,5,15,Default,0.33,0.0,21.19,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW5C,5,5,15,Default,0.49,0.0,21.05,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW6A,5,5,15,Default,0.39,0.0,20.02,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW6B,5,5,15,Default,0.35,0.0,21.04,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW6C,4,4,11,Default,0.37,0.0,28.0,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW8A,5,5,15,Default,0.31,0.0,20.34,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02RW8C,5,5,15,Default,0.47,0.0,21.24,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SC4A,4,4,11,Default,0.74,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SC4B,4,4,11,Default,0.81,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SC4C,4,4,11,Default,0.35,0.0,29.43,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SC7A,8,8,22,Default,0.92,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SC7B,5,5,14,Default,0.4,0.0,22.0,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SC7C,5,5,15,Default,0.43,0.0,21.0,PLANNED,NA,2025-12-10 14:54:56
DBE02,D02SJ7A,5,5,15,Default,0.29,0.0,21.12,PLANNED,NA,2025-12-10 14:54:56
DBE02,GPSDRECC,8,8,23,Default,0.31,0.0,13.21,PLANNED,NA,2025-12-10 14:54:56
DBE02,GPSDRHMA,8,8,23,Default,0.25,0.0,13.25,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGLHG94A,4,4,11,Default,0.2,0.0,28.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGLHG94B,4,4,11,Default,0.56,0.0,28.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGLHG94C,4,4,11,Default,0.61,0.0,28.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGSKNA0A,4,4,11,Default,0.7,0.0,28.85,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGSKNA0B,4,4,11,Default,0.53,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CGSKNA0C,4,4,11,Default,0.67,0.0,28.93,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CA8YJ8A,4,4,11,Default,0.31,0.0,29.05,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9A9RC,4,4,11,Default,0.17,0.0,29.5,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9B58A,3,3,10,Default,0.34,0.0,36.07,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9B58B,5,5,14,Default,0.27,0.0,22.0,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9YA9C,8,8,22,Default,0.22,0.0,13.69,PLANNED,NA,2025-12-10 14:54:56
