LINK_ID,LINK_CODE,COST_CODE,VENDOR,CONTRACT,LINK_TYPE,BUCKET,LINK_CAPACITY,UNIT_COST_PER_MBPS_MONTHLY,PO_STATUS,SITECODE,OLD_SITECODE,SITE_NAME,PHASE,ORIGIN,HO_SITECODE,HO_SITE_NAME,REGION,INTERNAL_REMARKS,CEP_EXECUTION_DATE,POP_STATUS,LOCK_IN_CEP_POP_REMARKS,EXPIRE_DATE,TERMINATION_DATE,TERMINATION_STATUS,CLUSTER_NAME_CEP,PAT_DATE,PAT_STATUS,LAST_INVOICE,LOCK_IN_STATUS,FIBER_MASTER_PLAN,EFFECTIVE_START_TIME,EFFECTIVE_END_TIME,IS_CURRENT,USER
101010,FHL01950,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,130,86,Yes,DHUTTB9,DHUTT27,UTTARA RD9 _NEW_Reloc_Airtel,Phase#1,Robi,GPSDR34,Pubail land 75m,Dhaka North, ,,, ,12/20/2024,1/1/1970,, ,11/17/2013,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101011,FHL01956,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHUTT34,,DCS_ABC Heritage_IBS,2G,Robi,DHGUL58,Uday Tower,Dhaka North, ,,, , ,1/1/1970,, ,5/5/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101012,FHL01957,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,150,86,Yes,DHUTT36,,Uttara 3 Road 7,Phase#1,Robi,GPSDR34,Pubail land 75m,Dhaka North, ,,, ,12/20/2024,1/1/1970,, ,2/12/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101013,FHL01958,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,280,86,Yes,DHUTT39,,Uttara 13 Road 12,Phase#3,Robi,GPSDR34,Pubail land 75m,Dhaka North, ,,, ,12/20/2024,1/1/1970,, ,11/18/2013,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101014,FHL01961,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,200,86,Yes,DHUTT72,,Technoline,Phase#4B,Robi,DHUTT04,Mascot,Dhaka North, ,,, ,12/20/2024,1/1/1970,, ,1/16/2016,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101015,FHL02136,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHJTB81,,Jatrabari WIC_IBS,WIC,Robi,GPSDR34,Pubail land 75m,Dhaka South, ,,, , ,1/1/1970,, ,12/9/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101016,FHL02138,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHKTL91,,Jonson road(old Dhaka)_WIC_IBS,WIC,Robi,GPSDR34,Pubail land 75m,Dhaka South, ,,, ,2/29/2024,1/1/1970,, ,11/2/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101017,FHL02150,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,Oxygen Mor,,CGBYZB6_Oxygen_WIC-Pubail,WIC,Robi,CGCDG41,Bahaddarhat,Chittagong North, ,,, ,2/29/2024,1/1/1970,, ,1/14/2016,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101018,FHL02154,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHSBN76,,Shyamoli WIC_IBS,WIC,Robi,GPSDR34,Pubail land 75m,Dhaka Metro, ,,, , ,1/1/1970,, ,12/20/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101019,FHL02156,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,130,86,Yes,Tangail,,TNSDRA9_Tangail_WIC,WIC,Robi,GPSDR34,Pubail land 75m,Mymensingh, ,,, , ,1/1/1970,, ,11/22/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101020,FHL03914,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,2650,86,Yes,NTMC,,NTMC,Single Lease,Robi,GPSDR34,Pubail land 75m,Dhaka Metro, NTMC link,,, , ,1/1/1970,, ,7/10/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101021,FHL03921,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHUTTF5,,IBS_Radiant  Pharma,Single Lease,Robi,GPSDR34,Pubail land 75m,Dhaka North, ,,, , ,1/1/1970,, ,11/6/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101022,FHL03929,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHCNT97,,Mohakhali DOHS Small cell1,Single Lease,Robi,GPSDRO5,Dhaka3,Dhaka West, Small Cell,,, , ,1/1/1970,, ,1/15/2019,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101023,FHL03930,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHCNTA0,,Mohakhali DOHS Small cell4,Single Lease,Robi,GPSDRO5,Dhaka3,Dhaka West, Small Cell,,, , ,1/1/1970,, ,1/15/2019,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101024,FHL03931,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,100,86,Yes,DHCNTA1,,Mohakhali DOHS Small cell5_1,Single Lease,Robi,GPSDRO5,Dhaka3,Dhaka West, Small Cell,,, , ,1/1/1970,, ,1/15/2019,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
