BSC,CELL,max ti,Max_Cong,Max Tch,Insert_DATE,ENM
DBE76,D76561C,0.35,0,13.15,12/10/2025 14:54,DHK
DBE76,D76AN1A,0.45,0,20.14,12/10/2025 14:54,DHK
DBE76,D76AN3A,0.42,0,13.06,12/10/2025 14:54,DHK
DBE86,D86Z86C,0.6,0,13.1,12/10/2025 14:54,DHK
DBE87,D87AO0A,0.64,0,50.02,12/10/2025 14:54,DHK
DBE87,D87AO0B,0.98,0,35.01,12/10/2025 14:54,DHK
DBE87,D87AO0C,0.88,0,34.45,12/10/2025 14:54,DHK
DBE87,D87BDIA,0.18,0,13.78,12/10/2025 14:54,DHK
DBE87,D87BDIB,0.24,0,13.79,12/10/2025 14:54,DHK
DBE87,D87BDIC,0.26,0,13.18,12/10/2025 14:54,DHK
DBE87,D87YO8A,0.24,0,13.79,12/10/2025 14:54,DHK
DBE87,D87YO8B,0.67,0,13.82,12/10/2025 14:54,DHK
DBE87,D87YO8C,0.33,0,13.39,12/10/2025 14:54,DHK
DBE87,D87YP2C,0.33,0,21.74,12/10/2025 14:54,DHK
DBE88,D88554C,0.31,0,21.65,12/10/2025 14:54,DHK
DBE88,D88557A,0.46,0,36,12/10/2025 14:54,DHK
DBE88,D88G20B,0.21,0,20.31,12/10/2025 14:54,DHK
DBE88,D88G20C,0.26,0,28.18,12/10/2025 14:54,DHK
DBE88,D88KD1C,1.67,0.56,18.74,12/10/2025 14:54,DHK
DBE88,D88KE4A,0.41,0,20.04,12/10/2025 14:54,DHK
DBE88,D88KE4B,0.44,0,20.01,12/10/2025 14:54,DHK
DBE88,NGRPG60B,0.25,0,20.06,12/10/2025 14:54,DHK
DBE88,NGRPG60C,0.29,0,12.68,12/10/2025 14:54,DHK
DBE88,NGRPGA3B,0.92,0,13,12/10/2025 14:54,DHK
DBE88,NGRPGA3C,0.42,0,13.27,12/10/2025 14:54,DHK
DBE94,D94M43A,0.22,0,37,12/10/2025 14:54,DHK
DBE94,D94M43B,0.46,0,36.17,12/10/2025 14:54,DHK
DBE86,DHKGNM2C,0.81,0,12.99,12/10/2025 14:54,DHK
DBE86,DHKGNM3A,0.63,0,12.99,12/10/2025 14:54,DHK
DBE86,DHKGNM3B,0.47,0,13,12/10/2025 14:54,DHK
DBE86,DHKGNM3C,0.27,0,13.01,12/10/2025 14:54,DHK
DBE86,DHLLBD1A,0.3,0,13.23,12/10/2025 14:54,DHK
DBE86,DHLLBD1B,0.38,0,13.2,12/10/2025 14:54,DHK
DBE86,DHLLBD1C,0.4,0,13,12/10/2025 14:54,DHK
DBE86,DHNWG81A,0.31,0,13.15,12/10/2025 14:54,DHK
DBE87,D87CQZB,0.36,0,20.01,12/10/2025 14:54,DHK
DBE87,D87CQZC,0.38,0,27.66,12/10/2025 14:54,DHK
DBE87,D87TH1A,0.54,0,20.21,12/10/2025 14:54,DHK
DBE87,D87YW2C,0.11,0,22,12/10/2025 14:54,DHK
DBE87,D87YX1B,0.22,0,29.03,12/10/2025 14:54,DHK
DBE87,D87YX1C,0.19,0,29.53,12/10/2025 14:54,DHK
CBEB0,CGMIR84A,0.59,0,19.99,12/10/2025 14:54,CTG
CBEB1,CB1D38A,0.53,0,42.81,12/10/2025 14:54,CTG
CBEB1,CB1R50C,0.16,0,28.66,12/10/2025 14:54,CTG
CBEB1,CB1R52A,0.27,0,13.63,12/10/2025 14:54,CTG
CBEB1,CGFTK21B,0.17,0,52.59,12/10/2025 14:54,CTG
CBEB1,CGFTK22C,0.52,0,44.09,12/10/2025 14:54,CTG
CBEB1,KCPNC08A,0.17,0,13.93,12/10/2025 14:54,CTG
CBEB1,KCPNC08B,0.06,0,14,12/10/2025 14:54,CTG
CBEB1,KCPNC08C,0.19,0,20.47,12/10/2025 14:54,CTG
CBEB2,CB2P70B,0.29,0,36,12/10/2025 14:54,CTG
CBEB2,CB2P70C,0.27,0,37,12/10/2025 14:54,CTG
CBEB2,CB2Q28C,0.39,0,20.11,12/10/2025 14:54,CTG
CBEB2,CB2Q29A,0.22,0,21.49,12/10/2025 14:54,CTG
CBEB2,CGRNGA2C,0.46,0,37,12/10/2025 14:54,CTG
CBEB2,CGRNGA3A,0.37,0.24,29,12/10/2025 14:54,CTG
CBEB2,CGRNGA3B,0.43,0.49,29.02,12/10/2025 14:54,CTG
CBEA9,LXKMN59B,0.52,0,36.94,12/10/2025 14:54,CTG
CBEA9,LXKMN59C,0.47,0,44.77,12/10/2025 14:54,CTG
CBEA9,LXKMN72A,0.52,0,36.93,12/10/2025 14:54,CTG
DBE76,D76984C,0.45,0,21.22,12/10/2025 14:54,DHK
DBE76,D76985A,0.17,0,12.69,12/10/2025 14:54,DHK
DBE76,D76985B,0.25,0,21.45,12/10/2025 14:54,DHK
DBE76,D76985C,0.58,0,20,12/10/2025 14:54,DHK
DBE76,D76986B,0.69,0,13.13,12/10/2025 14:54,DHK
DBE76,D76AA0A,0.18,0,21.61,12/10/2025 14:54,DHK
DBE76,D76C08B,0.38,0,12.66,12/10/2025 14:54,DHK
DBE76,D76C08C,0.27,0,12.89,12/10/2025 14:54,DHK
DBE76,D76E21B,1.12,0,28.52,12/10/2025 14:54,DHK
DBE76,D76E21C,1.14,0.11,19.32,12/10/2025 14:54,DHK
DBE76,D76I67C,0.26,0,20.39,12/10/2025 14:54,DHK
DBE76,D76I72A,0.32,0,12.38,12/10/2025 14:54,DHK
DBE76,D76I72C,1.02,0,19.14,12/10/2025 14:54,DHK
DBE76,D76IA4B,0.54,0,12.88,12/10/2025 14:54,DHK
DBE69,D69C27C,1.05,0,21.48,12/10/2025 14:54,DHK
DBE69,D69C37A,1.04,0,28.39,12/10/2025 14:54,DHK
DBE69,D69CYVA,0.23,0,13.33,12/10/2025 14:54,DHK
DBE69,D69CYVC,0.25,0,13.27,12/10/2025 14:54,DHK
DBE69,D69JX7A,0.2,0,12.95,12/10/2025 14:54,DHK
DBE69,D69JX7B,0.55,0,27.69,12/10/2025 14:54,DHK
DBE69,D69JX8B,0.37,0,12.03,12/10/2025 14:54,DHK
DBE69,D69JX8C,0.24,0,20.02,12/10/2025 14:54,DHK
DBE69,D69JX9B,0.33,0,20.02,12/10/2025 14:54,DHK
DBE69,D69QW9A,0.59,0,52.22,12/10/2025 14:54,DHK
DBE69,D69YJ9A,0.3,0,13.16,12/10/2025 14:54,DHK
DBE76,D76056B,0.28,0,12.63,12/10/2025 14:54,DHK
DBE76,D76AO1A,0.12,0,14,12/10/2025 14:54,DHK
DBE76,D76CIOC,0.19,0,13.95,12/10/2025 14:54,DHK
DBE76,D76CKAA,0.77,0,20.94,12/10/2025 14:54,DHK
DBE76,D76CKAB,0.48,0,21.22,12/10/2025 14:54,DHK
DBE76,D76CKAC,0.23,0,13.97,12/10/2025 14:54,DHK
DBE76,D76CKBA,0.55,0,21.28,12/10/2025 14:54,DHK
DBE87,D87H59G,0.42,0,13.3,12/10/2025 14:54,DHK
DBE87,D87H97A,0.62,0,37.03,12/10/2025 14:54,DHK
DBE87,D87H97B,0.24,0,21.16,12/10/2025 14:54,DHK
DBE87,D87HE5A,0.12,0,13.81,12/10/2025 14:54,DHK
DBE87,D87HE5B,0.21,0,21.5,12/10/2025 14:54,DHK
DBE87,D87HE5C,0.25,0,13.83,12/10/2025 14:54,DHK
DBE87,D87Q36A,0.28,0,21.52,12/10/2025 14:54,DHK
DBE87,D87Q36B,0.3,0,20.08,12/10/2025 14:54,DHK
DBE88,D88557B,0.41,0,20,12/10/2025 14:54,DHK
DBE88,D88595C,0.28,0,30.59,12/10/2025 14:54,DHK
DBE88,D88CABB,0.22,0,13.84,12/10/2025 14:54,DHK
DBE88,D88CABC,0.29,0,13.14,12/10/2025 14:54,DHK
DBE88,D88MT6B,0.4,0,13.59,12/10/2025 14:54,DHK
DBE88,D88MT6C,0.29,0,29.18,12/10/2025 14:54,DHK
DBE88,D88MW5A,0.3,0,12.85,12/10/2025 14:54,DHK
DBE88,D88MW5C,0.5,0,20.61,12/10/2025 14:54,DHK
DBE88,D88N09B,0.48,0,36.55,12/10/2025 14:54,DHK
DBE94,D94M43C,0.3,0,37.03,12/10/2025 14:54,DHK
DBE94,D94M47A,0.19,0,21.56,12/10/2025 14:54,DHK
