bsc,cell,max_intensity,max_congestion,max_avail_tch_mean
CBEB5,CB5167C,0.29,0.0,21.79
CBEB5,CB5169A,0.55,0.0,20.3
CBEB5,CB5899C,0.31,0.0,29.02
CBEB5,CB5A9VA,0.72,0.0,29.0
CBEB5,CB5A9VB,0.82,0.0,37.0
CBEB5,CB5A9VC,1.3,0.0,37.0
CBEB5,CB5B08A,0.23,0.0,21.79
CBEB5,CB5B08B,0.24,0.0,14.0
CBEB5,CB5B10A,0.44,0.0,28.91
CBEB5,CB5O82C,0.25,0.0,13.8
CBEB5,CB5PA1A,0.31,0.0,28.21
CBEB5,CB5PA1B,0.28,0.0,29.4
CBEB5,CB5PA1C,0.31,0.0,29.44
CBEB5,CGPTL78B,1.8,0.6,28.0
CBEB5,CGPTL78C,0.84,0.0,28.0
CBEB5,CGPTL79A,1.16,0.0,29.04
CBEB5,CGPTL79B,1.23,0.0,29.39
CBEB5,CGPTL79C,0.58,0.0,29.87
CBEB6,CB6005A,0.5,0.0,37.03
CBEB6,CB6H20B,0.32,0.0,37.0
CBEB6,CB6H20C,0.44,0.0,28.73
CBEB6,CB6H45A,0.36,0.0,13.79
CBEB6,CB6H45B,0.35,0.0,29.1
CBEB6,CB6H45C,0.25,0.0,21.49
CBEB3,CGCDG69A,0.65,0.0,29.04
CBEB3,CGCDG69B,0.76,0.0,21.01
CBEB3,CGCDG69C,0.38,0.0,29.01
CBEB3,CGCDG83A,0.44,0.0,43.49
CBEB3,CGCDG83B,0.57,0.0,28.0
CBEB3,CGHTZG1A,0.32,0.0,20.13
CBEB3,CGHTZG1B,0.2,0.0,21.27
CBEB3,CGHTZG1C,0.97,0.0,35.69
CBEB3,CGHTZH3A,0.6,0.0,45.0
CBEB3,CGHTZH3B,1.37,0.0,44.6
CBEB3,CGSKD64B,0.56,0.0,35.16
CBEB3,CGSKD64C,0.26,0.0,13.55
CBEB3,CGSKD75A,0.53,0.0,28.99
CBEB3,CGSKD75B,0.4,0.0,21.2
CBEB3,CGSKD75C,0.55,0.0,21.02
CBEB4,CGHTZ10A,0.25,0.0,21.13
CBEB5,CB5B10B,0.43,0.0,37.0
CBEB5,CB5L02B,0.1,0.0,14.0
CBEB5,CB5L02C,0.11,0.0,14.0
CBEB5,CB5L29L,0.12,0.0,13.96
CBEB5,CB5L85A,0.17,0.0,31.47
CBEB5,CB5L85B,0.23,0.0,14.0
CBEB5,CB5L85C,0.19,0.0,14.0
CBEB5,CB5L99A,0.61,0.0,35.59
CBEB5,CB5L99B,0.32,0.0,29.21
CBEB5,CB5L99C,0.47,0.0,44.93
CBEB6,CB6005B,0.77,0.0,28.87
CBEB6,CB6005C,0.71,0.0,43.71
CBEB6,CB6822B,0.48,0.0,51.5
CBEB6,CB6822C,0.4,0.0,21.13
CBEB6,CB6823A,0.4,0.0,29.0
CBEB6,CB6823B,0.33,0.0,21.43
CBEB6,CB6823C,0.37,0.0,29.0
CBEB6,CB6840A,0.44,0.0,29.03
CBEB6,CB6840B,0.65,0.0,36.93
CBEB6,CB6840C,0.96,0.0,51.88
CBEB3,CGCDG83C,0.66,0.0,35.16
CBEB3,CGCDG84A,0.22,0.0,21.51
CBEB3,CGCDG84B,0.37,0.0,21.2
CBEB6,CB6R62B,0.42,0.0,21.0
CBEB6,CB6R62C,0.57,0.0,36.47
CBEB6,CB6R63A,0.19,0.0,29.39
CBEB6,CB6R63B,0.36,0.0,21.15
CBEB6,CB6R63C,0.37,0.0,29.05
CBEB6,CB6R91A,0.3,0.0,36.0
CBEB6,CB6R91B,0.33,0.0,28.14
CBEB3,CGSKD76A,0.7,0.0,43.59
CBEB3,CGSKD76B,0.29,0.0,21.0
CBEB3,CGSKD76C,0.39,0.0,21.0
CBEB4,CB4567A,0.45,0.0,28.93
CBEB4,CB4567B,0.51,0.0,21.0
CBEB4,CB4567C,0.59,0.0,44.63
CBEB4,CB4573A,0.49,0.0,20.01
CBEB4,CB4573B,0.48,0.0,21.14
CBEB4,CB4573C,0.42,0.0,35.5
CBEB4,CB4580A,0.37,0.0,35.87
CBEB4,CGHTZ10B,0.32,0.0,45.0
CBEB4,CGHTZ10C,0.78,0.0,60.56
CBEB4,CGHTZ11A,0.58,0.0,50.46
CBEB4,CGHTZ11B,0.43,0.0,20.93
CBEB4,CGHTZ11C,0.22,0.0,33.42
CBEB4,CGHTZ12A,0.4,0.0,28.93
CBEB4,CGHTZF8C,0.26,0.0,21.22
